tabela,modulo,ordem,campo,tipo,tamanho,aceita_nulo,chave_primaria,descricao,fk_tabela,fk_campo
DUAL,DUAL,1.0,DUMMY,VARCHAR2,1,SIM,,,,
SYSTEM_PRIVILEGE_MAP,SYSTEM,1.0,PRIVILEGE,NUMBER,,NAO,,Numeric privilege type code,,
SYSTEM_PRIVILEGE_MAP,SYSTEM,2.0,NAME,VARCHAR2,40,NAO,,Name of the type of privilege,,
SYSTEM_PRIVILEGE_MAP,SYSTEM,3.0,PROPERTY,NUMBER,,NAO,,"Property flag of privilege like not export this privilege, etc",,
TABLE_PRIVILEGE_MAP,TABLE,1.0,PRIVILEGE,NUMBER,,NAO,,Numeric privilege (auditing option) type code,,
TABLE_PRIVILEGE_MAP,TABLE,2.0,NAME,VARCHAR2,40,NAO,,Name of the type of privilege (auditing option),,
USER_PRIVILEGE_MAP,USER,1.0,PRIVILEGE,NUMBER,,NAO,,Numeric privilege (auditing option) type code,,
USER_PRIVILEGE_MAP,USER,2.0,NAME,VARCHAR2,40,NAO,,Name of the type of privilege (auditing option),,
STMT_AUDIT_OPTION_MAP,STMT,1.0,OPTION#,NUMBER,,NAO,,Numeric auditing option type code,,
STMT_AUDIT_OPTION_MAP,STMT,2.0,NAME,VARCHAR2,40,NAO,,Name of the type of auditing option,,
STMT_AUDIT_OPTION_MAP,STMT,3.0,PROPERTY,NUMBER,,NAO,,Property flag of auditing option,,
FINALHIST$,FINALHIST$,1.0,ENDPOINT,NUMBER,,NAO,,,,
FINALHIST$,FINALHIST$,2.0,EPVALUE,VARCHAR2,1000,SIM,,,,
FINALHIST$,FINALHIST$,3.0,BUCKET,NUMBER,,NAO,,,,
FINALHIST$,FINALHIST$,4.0,EPREPCNT,NUMBER,,SIM,,,,
FINALHIST$,FINALHIST$,5.0,EPVALUE_RAW,RAW,,SIM,,,,
FINALHIST$,FINALHIST$,6.0,SPARE1,VARCHAR2,1000,SIM,,,,
FINALHIST$,FINALHIST$,7.0,SPARE2,NUMBER,,SIM,,,,
FINALHIST$,FINALHIST$,8.0,SPARE3,NUMBER,,SIM,,,,
MODELGTTRAW$,MODELGTTRAW$,1.0,PARTNUMBER,NUMBER,,SIM,,,,
MODELGTTRAW$,MODELGTTRAW$,2.0,CONTROLVAL,NUMBER,,SIM,,,,
MODELGTTRAW$,MODELGTTRAW$,3.0,SLAVENUMBER,NUMBER,,SIM,,,,
MODELGTTRAW$,MODELGTTRAW$,4.0,ROWNUMBER,NUMBER,,SIM,,,,
MODELGTTRAW$,MODELGTTRAW$,5.0,CHUNKNUMBER,NUMBER,,SIM,,,,
MODELGTTRAW$,MODELGTTRAW$,6.0,CHUNKDATA,RAW,,SIM,,,,
AV_DUAL,AV,1.0,C,VARCHAR2,1,SIM,,,,
ALL_XML_SCHEMAS,ALL,8.0,BINARY,VARCHAR2,3,SIM,,Is this XML Schema registered for binary encoding usage?,,
ALL_XML_SCHEMAS,ALL,9.0,SCHEMA_ID,RAW,,SIM,,16 byte opaque schema identifier,,
ALL_XML_SCHEMAS,ALL,10.0,HIDDEN,VARCHAR2,3,SIM,,Has this XML Schema been deleted in hidden mode?,,
ALL_XML_SCHEMAS,ALL,1.0,OWNER,VARCHAR2,128,SIM,,Owner of the XML Schema,,
ALL_XML_SCHEMAS,ALL,2.0,SCHEMA_URL,VARCHAR2,700,SIM,,Schema URL of the XML Schema,,
ALL_XML_SCHEMAS,ALL,3.0,LOCAL,VARCHAR2,3,SIM,,Is this XML Schema local or global,,
ALL_XML_SCHEMAS,ALL,4.0,SCHEMA,XMLTYPE,,SIM,,The XML Schema document,,
ALL_XML_SCHEMAS,ALL,5.0,INT_OBJNAME,VARCHAR2,4000,SIM,,The internal database object name for the schema,,
ALL_XML_SCHEMAS,ALL,6.0,QUAL_SCHEMA_URL,VARCHAR2,865,SIM,,The fully qualified schema URL,,
ALL_XML_SCHEMAS,ALL,7.0,HIER_TYPE,VARCHAR2,11,SIM,,The type of hierarchy for which the schema is enabled,,
ALL_XML_SCHEMAS2,ALL,1.0,OWNER,VARCHAR2,128,SIM,,Owner of the XML Schema,,
ALL_XML_SCHEMAS2,ALL,2.0,SCHEMA_URL,VARCHAR2,700,SIM,,Schema URL of the XML Schema,,
ALL_XML_SCHEMAS2,ALL,3.0,LOCAL,VARCHAR2,3,SIM,,Is this XML Schema local or global,,
ALL_XML_SCHEMAS2,ALL,4.0,INT_OBJNAME,VARCHAR2,4000,SIM,,The internal database object name for the schema,,
ALL_XML_SCHEMAS2,ALL,5.0,QUAL_SCHEMA_URL,VARCHAR2,865,SIM,,The fully qualified schema URL,,
V_$ALL_SQL_PLAN,V,1.0,ADDRESS,RAW,,SIM,,,,
V_$ALL_SQL_PLAN,V,2.0,HASH_VALUE,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,3.0,SQL_ID,VARCHAR2,13,SIM,,,,
V_$ALL_SQL_PLAN,V,4.0,PLAN_HASH_VALUE,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,5.0,FULL_PLAN_HASH_VALUE,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,6.0,CHILD_ADDRESS,RAW,,SIM,,,,
V_$ALL_SQL_PLAN,V,7.0,CHILD_NUMBER,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,8.0,TIMESTAMP,DATE,,SIM,,,,
V_$ALL_SQL_PLAN,V,9.0,OPERATION,VARCHAR2,30,SIM,,,,
V_$ALL_SQL_PLAN,V,10.0,OPTIONS,VARCHAR2,30,SIM,,,,
V_$ALL_SQL_PLAN,V,11.0,OBJECT_NODE,VARCHAR2,40,SIM,,,,
V_$ALL_SQL_PLAN,V,12.0,OBJECT#,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,13.0,OBJECT_OWNER,VARCHAR2,128,SIM,,,,
V_$ALL_SQL_PLAN,V,14.0,OBJECT_NAME,VARCHAR2,128,SIM,,,,
V_$ALL_SQL_PLAN,V,15.0,OBJECT_ALIAS,VARCHAR2,261,SIM,,,,
V_$ALL_SQL_PLAN,V,16.0,OBJECT_TYPE,VARCHAR2,20,SIM,,,,
V_$ALL_SQL_PLAN,V,17.0,OPTIMIZER,VARCHAR2,20,SIM,,,,
V_$ALL_SQL_PLAN,V,18.0,ID,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,19.0,PARENT_ID,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,20.0,DEPTH,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,21.0,POSITION,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,22.0,SEARCH_COLUMNS,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,23.0,COST,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,24.0,CARDINALITY,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,25.0,BYTES,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,26.0,OTHER_TAG,VARCHAR2,35,SIM,,,,
V_$ALL_SQL_PLAN,V,27.0,PARTITION_START,VARCHAR2,64,SIM,,,,
V_$ALL_SQL_PLAN,V,28.0,PARTITION_STOP,VARCHAR2,64,SIM,,,,
V_$ALL_SQL_PLAN,V,29.0,PARTITION_ID,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,30.0,OTHER,VARCHAR2,4000,SIM,,,,
V_$ALL_SQL_PLAN,V,31.0,DISTRIBUTION,VARCHAR2,20,SIM,,,,
V_$ALL_SQL_PLAN,V,32.0,CPU_COST,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,33.0,IO_COST,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,34.0,TEMP_SPACE,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,35.0,ACCESS_PREDICATES,VARCHAR2,4000,SIM,,,,
V_$ALL_SQL_PLAN,V,36.0,FILTER_PREDICATES,VARCHAR2,4000,SIM,,,,
V_$ALL_SQL_PLAN,V,37.0,PROJECTION,VARCHAR2,4000,SIM,,,,
V_$ALL_SQL_PLAN,V,38.0,TIME,NUMBER,,SIM,,,,
V_$ALL_SQL_PLAN,V,39.0,QBLOCK_NAME,VARCHAR2,128,SIM,,,,
V_$ALL_SQL_PLAN,V,40.0,REMARKS,VARCHAR2,4000,SIM,,,,
V_$ALL_SQL_PLAN,V,41.0,OTHER_XML,CLOB,,SIM,,,,
V_$ALL_SQL_PLAN,V,42.0,CON_ID,NUMBER,,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,1.0,TIMESTAMP,DATE,,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,2.0,OPERATION,VARCHAR2,64,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,3.0,OPTIONS,VARCHAR2,64,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,4.0,OBJECT_NODE,VARCHAR2,128,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,5.0,OBJECT#,NUMBER,,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,6.0,OBJECT_OWNER,VARCHAR2,128,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,7.0,OBJECT_NAME,VARCHAR2,128,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,8.0,OBJECT_ALIAS,VARCHAR2,261,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,9.0,OBJECT_TYPE,VARCHAR2,64,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,10.0,OPTIMIZER,VARCHAR2,64,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,11.0,ID,NUMBER,,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,12.0,PARENT_ID,NUMBER,,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,13.0,DEPTH,NUMBER,,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,14.0,POSITION,NUMBER,,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,15.0,SEARCH_COLUMNS,NUMBER,,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,16.0,COST,NUMBER,,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,17.0,CARDINALITY,NUMBER,,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,18.0,BYTES,NUMBER,,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,19.0,OTHER_TAG,VARCHAR2,64,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,20.0,PARTITION_START,VARCHAR2,64,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,21.0,PARTITION_STOP,VARCHAR2,64,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,22.0,PARTITION_ID,NUMBER,,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,23.0,OTHER,VARCHAR2,4000,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,24.0,DISTRIBUTION,VARCHAR2,64,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,25.0,CPU_COST,NUMBER,,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,26.0,IO_COST,NUMBER,,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,27.0,TEMP_SPACE,NUMBER,,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,28.0,ACCESS_PREDICATES,VARCHAR2,4000,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,29.0,FILTER_PREDICATES,VARCHAR2,4000,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,30.0,PROJECTION,VARCHAR2,4000,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,31.0,TIME,NUMBER,,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,32.0,QBLOCK_NAME,VARCHAR2,128,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,33.0,REMARKS,VARCHAR2,4000,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,34.0,OTHER_XML,CLOB,,SIM,,,,
V_$ADVISOR_CURRENT_SQLPLAN,V,35.0,CON_ID,NUMBER,,SIM,,,,
V_$BH,V,1.0,FILE#,NUMBER,,SIM,,,,
V_$BH,V,2.0,BLOCK#,NUMBER,,SIM,,,,
V_$BH,V,3.0,CLASS#,NUMBER,,SIM,,,,
V_$BH,V,4.0,STATUS,VARCHAR2,10,SIM,,,,
V_$BH,V,5.0,XNC,NUMBER,,SIM,,,,
V_$BH,V,6.0,FORCED_READS,NUMBER,,SIM,,,,
V_$BH,V,7.0,FORCED_WRITES,NUMBER,,SIM,,,,
V_$BH,V,8.0,LOCK_ELEMENT_ADDR,RAW,,SIM,,,,
V_$BH,V,9.0,LOCK_ELEMENT_NAME,NUMBER,,SIM,,,,
V_$BH,V,10.0,LOCK_ELEMENT_CLASS,NUMBER,,SIM,,,,
V_$BH,V,11.0,DIRTY,VARCHAR2,1,SIM,,,,
V_$BH,V,12.0,TEMP,VARCHAR2,1,SIM,,,,
V_$BH,V,13.0,PING,VARCHAR2,1,SIM,,,,
V_$BH,V,14.0,STALE,VARCHAR2,1,SIM,,,,
V_$BH,V,15.0,DIRECT,VARCHAR2,1,SIM,,,,
V_$BH,V,16.0,NEW,CHAR,1,SIM,,,,
V_$BH,V,17.0,OBJD,NUMBER,,SIM,,,,
V_$BH,V,18.0,TS#,NUMBER,,SIM,,,,
V_$BH,V,19.0,LOBID,NUMBER,,SIM,,,,
V_$BH,V,20.0,CACHEHINT,NUMBER,,SIM,,,,
V_$BH,V,21.0,FLASH_CACHE,VARCHAR2,7,SIM,,,,
V_$BH,V,22.0,CELL_FLASH_CACHE,VARCHAR2,7,SIM,,,,
V_$BH,V,23.0,CON_ID,NUMBER,,SIM,,,,
V_$SQLFN_METADATA,V,9.0,OFFLOADABLE,VARCHAR2,3,SIM,,,,
V_$SQLFN_METADATA,V,10.0,DISP_TYPE,VARCHAR2,13,SIM,,,,
V_$SQLFN_METADATA,V,11.0,USAGE,VARCHAR2,128,SIM,,,,
V_$SQLFN_METADATA,V,12.0,DESCR,VARCHAR2,4000,SIM,,,,
V_$SQLFN_METADATA,V,13.0,CON_ID,NUMBER,,SIM,,,,
V_$SQLFN_METADATA,V,1.0,FUNC_ID,NUMBER,,SIM,,,,
