Tabela,Módulo,Campo,Tipo,Tamanho,Nulo,Descrição,FK Tabela
ADM_APROVADORESPRORROGATAREFA,ADM,HANDLE,Integer,,Não,Código,
ADM_APROVADORESPRORROGATAREFA,ADM,Z_GRUPO,Integer,,Não,Grupo MODELOSTAREFA S Tarefas com permissão de prorrogação,Z_WFMODELOTAREFAS
ADM_APROVADORESPRORROGATAREFA,ADM,USUARIORESPONSAVEL,Integer,,Não,Usuário,Z_GRUPOUSUARIOS
ADM_APROVADORESPRORROGATAREFA,ADM,WFPROCESSO,Integer,,Não,Processo de Workflow,Z_WFPROCESSOS
ADM_APROVADORESPRORROGATAREFA,ADM,PAPELRESPONSAVEL,Integer,,Não,Papel de workflow Z_WFPAPEIS TIPORESPONSAVEL,
ADM_CONSULTAS,ADM,HANDLE,Integer,,Não,Código,
ADM_CONSULTAS,ADM,Z_GRUPO,Integer,,Não,Grupo,
ADM_CONSULTAS,ADM,CHAVEBUSCA,Integer,,Não,Chave de busca,
ADM_CONSULTAS,ADM,ORIGEM,Varchar,190,Sim,Origem,
ADM_CONSULTAS,ADM,SELECAOESPECIAL,Blob,,Sim,Seleção especial,
ADM_CONSULTAS,ADM,CAMPOS,Blob,,Sim,Campos,
ADM_CONSULTAS,ADM,FILTROSPADRAO,Blob,,Sim,Filtros padrão USUARIO,
ADM_CONSULTAUSUARIOFILTROS,ADM,HANDLE,Integer,,Não,Código,
ADM_CONSULTAUSUARIOFILTROS,ADM,Z_GRUPO,Integer,,Não,Grupo,
ADM_CONSULTAUSUARIOFILTROS,ADM,FILTROS,Blob,,Sim,Filtros,
ADM_CONSULTAUSUARIOFILTROS,ADM,USUARIO,Integer,,Não,Usuário Z_GRUPOUSUARIOS CONSULTA,
ADM_CONSULTAUSUARIOVALORES,ADM,HANDLE,Integer,,Não,Código,
ADM_CONSULTAUSUARIOVALORES,ADM,Z_GRUPO,Integer,,Não,Grupo,
ADM_CONSULTAUSUARIOVALORES,ADM,EMPRESACORRENTE,Integer,,Não,Empresa corrente,
ADM_CONSULTAUSUARIOVALORES,ADM,FILIALCORRENTE,Integer,,Não,Filial corrente,
ADM_CONSULTAUSUARIOVALORES,ADM,VALORES,Blob,,Sim,Valores,
ADM_CONSULTAUSUARIOVALORES,ADM,USUARIO,Integer,,Não,Usuário Z_GRUPOUSUARIOS CONSULTA,
ADM_USUARIONOTIFICACOES,ADM,HANDLE,Integer,,Não,Código,
ADM_USUARIONOTIFICACOES,ADM,Z_GRUPO,Integer,,Não,Grupo,
ADM_USUARIONOTIFICACOES,ADM,QTDCOMPROMISSOS,Integer,,Não,Qtdcompromissos,
ADM_USUARIONOTIFICACOES,ADM,QTDTAREFAS,Integer,,Não,Qtdtarefas,
ADM_USUARIONOTIFICACOES,ADM,QTDMENSAGENS,Integer,,Não,Qtdmensagens USUARIO,
ADM_VERSOESBASE,ADM,HANDLE,Integer,,Não,Código,
