Módulo,Nome do Módulo,Tabela,Qtd Campos,Qtd Relacionamentos
ADM,Administração do Sistema,ADM_APROVADORESPRORROGATAREFA,5,3
ADM,Administração do Sistema,ADM_CONSULTAS,7,0
ADM,Administração do Sistema,ADM_CONSULTAUSUARIOFILTROS,4,0
ADM,Administração do Sistema,ADM_CONSULTAUSUARIOVALORES,6,0
ADM,Administração do Sistema,ADM_USUARIONOTIFICACOES,5,0
ADM,Administração do Sistema,ADM_VERSOESBASE,7,0
ADMW,Administração Workflow,ADMW_DUPLICARCONSULTA,3,0
AE,Avaliação de Escritórios,AE_AVALIACAOCREDENCIADO,15,4
AE,Avaliação de Escritórios,AE_AVALIACAOCREDENCIADORESPONS,5,1
AE,Avaliação de Escritórios,AE_AVALIACAODEESCRITORIOS,9,2
AE,Avaliação de Escritórios,AE_CREDENCIADOSAVALIACAO,9,1
AE,Avaliação de Escritórios,AE_NOTASINDICADORES,16,2
AE,Avaliação de Escritórios,AE_NOTASUBJETIVAS,15,6
AE,Avaliação de Escritórios,AE_RESPADVOGADOINDICADORSUB,7,2
AG,Agenda,AG_COMPROMISSOS,24,4
AG,Agenda,AG_COMPROMISSOUSUARIOS,29,1
AG,Agenda,AG_CONFIGURACOES,25,0
AG,Agenda,AG_GRUPOS,3,0
AU,Autenticação,AU_TOKEN,6,0
AV,Avaliação,AV_CONFIGURACOES,3,0
AV,Avaliação,AV_LOGMONITOR,8,1
AV,Avaliação,AV_SUGESTOES,4,0
BAIRROS,Localização,BAIRROS,6,2
BI,Business Intelligence,BI_CONSULTASEXPORTADAS,16,1
BL,Biblioteca,BL_ASSUNTOITEMAUTORES,7,2
BL,Biblioteca,BL_ASSUNTOITEMMOVIMENTOS,14,1
BL,Biblioteca,BL_ASSUNTOITENS,15,5
BL,Biblioteca,BL_ASSUNTOS,1,0
BL,Biblioteca,BL_AUTORES,2,0
BL,Biblioteca,BL_AUTORITEMASSUNTOS,5,2
BL,Biblioteca,BL_CATALOGACAO,6,1
BL,Biblioteca,BL_COLECOES,2,0
BL,Biblioteca,BL_DOCUMENTOIMAGENS,5,1
BL,Biblioteca,BL_DOCUMENTOS,12,1
BL,Biblioteca,BL_EDITORAS,15,4
BL,Biblioteca,BL_ESTRUTURADOCUMENTOS,4,1
BL,Biblioteca,BL_ITENS,22,6
BL,Biblioteca,BL_MIDIAS,2,0
BL,Biblioteca,BL_MOTIVOINATIVACAO,2,0
BL,Biblioteca,BL_OUTROSDOCUMENTOS,6,1
BL,Biblioteca,BL_PESSOASITENSEMATRASO,3,1
BL,Biblioteca,BL_TIPODOCUMENTOS,2,0
BL,Biblioteca,BL_TIPOMOVIMENTOITENS,6,0
BL,Biblioteca,BL_TIPOMOVIMENTOS,5,0
CA,Cálculo Trabalhista,CA_BASECALCULOPEDIDOS,9,6
CA,Cálculo Trabalhista,CA_BASECALCULOS,2,0
CA,Cálculo Trabalhista,CA_BASECALCULOVERBAS,5,1
CA,Cálculo Trabalhista,CA_CALCULOACORDODEDUCOES,16,3
CA,Cálculo Trabalhista,CA_CALCULOACORDOINSS,36,12
CA,Cálculo Trabalhista,CA_CALCULOACORDOIR,1,0
CA,Cálculo Trabalhista,CA_CALCULOACORDOS,14,5
CA,Cálculo Trabalhista,CA_CALCULOACORDOVALORES,18,3
