Tabela Origem,Campo,Tabela Destino,Campo Destino
ADM_APROVADORESPRORROGATAREFA,Z_GRUPO,Z_WFMODELOTAREFAS,HANDLE
ADM_APROVADORESPRORROGATAREFA,USUARIORESPONSAVEL,Z_GRUPOUSUARIOS,HANDLE
ADM_APROVADORESPRORROGATAREFA,WFPROCESSO,Z_WFPROCESSOS,HANDLE
AE_AVALIACAOCREDENCIADO,CATEGORIA,PR_CATEGORIAS,HANDLE
AE_AVALIACAOCREDENCIADO,PROVIDENCIA,PR_PROVIDENCIAEVENTOS,HANDLE
AE_AVALIACAOCREDENCIADO,DIVISAO,PR_DEPARTAMENTODIVISOES,HANDLE
AE_AVALIACAOCREDENCIADO,ESTADO,ESTADOS,HANDLE
AE_AVALIACAOCREDENCIADORESPONS,INDICADOR,AE_AVALIACAOCREDENCIADO,HANDLE
AE_AVALIACAODEESCRITORIOS,INCLUIDOPOR,Z_GRUPOUSUARIOS,HANDLE
AE_AVALIACAODEESCRITORIOS,ALTERADOPOR,Z_GRUPOUSUARIOS,HANDLE
AE_CREDENCIADOSAVALIACAO,AVALIACAODEESCRITORIO,AE_AVALIACAODEESCRITORIOS,HANDLE
AE_NOTASINDICADORES,PESOINDICADOR,AE_AVALIACAOCREDENCIADO,HANDLE
AE_NOTASINDICADORES,INDICADOR,AE_AVALIACAOCREDENCIADO,HANDLE
AE_NOTASUBJETIVAS,PESSOA,GN_PESSOAS,HANDLE
AE_NOTASUBJETIVAS,INSTANCIA,Z_WFMODELOINSTANCIAS,HANDLE
AE_NOTASUBJETIVAS,INDICADOR,AE_AVALIACAOCREDENCIADO,HANDLE
AE_NOTASUBJETIVAS,ADVOGADO,GN_PESSOAS,HANDLE
AE_NOTASUBJETIVAS,INCLUIDOPOR,Z_GRUPOUSUARIOS,HANDLE
AE_NOTASUBJETIVAS,ALTERADOPOR,NOTAINDICADORES,HANDLE
AE_RESPADVOGADOINDICADORSUB,PESSOA,GN_PESSOAS,HANDLE
AE_RESPADVOGADOINDICADORSUB,USUARIO,Z_GRUPOUSUARIOS,HANDLE
AG_COMPROMISSOS,COMPROMISSOPARA,Z_GRUPOUSUARIOS,HANDLE
AG_COMPROMISSOS,PASTA,PR_PROCESSOS,HANDLE
AG_COMPROMISSOS,ANDAMENTO,PR_PROCESSOEVENTOS,HANDLE
AG_COMPROMISSOS,PROVIDENCIA,PR_PROCESSOEVENTOPROVIDENCIAS,HANDLE
AG_COMPROMISSOUSUARIOS,GRUPO,AG_GRUPOS,HANDLE
AV_LOGMONITOR,USUARIO,Z_GRUPOUSUARIOS,HANDLE
BAIRROS,PAIS,PAISES,HANDLE
BAIRROS,ESTADO,ESTADOS,HANDLE
BI_CONSULTASEXPORTADAS,USUARIOGERACAOARQ,Z_GRUPOUSUARIOS,HANDLE
BL_ASSUNTOITEMAUTORES,AUTOR,BL_AUTORES,HANDLE
BL_ASSUNTOITEMAUTORES,LIVRO,BL_ITENS,HANDLE
BL_ASSUNTOITEMMOVIMENTOS,MOVIMENTO,BL_TIPOMOVIMENTOS,HANDLE
BL_ASSUNTOITENS,CATALOGACAO,BL_CATALOGACAO,HANDLE
BL_ASSUNTOITENS,COLECAO,BL_COLECOES,HANDLE
BL_ASSUNTOITENS,MIDIA,BL_MIDIAS,HANDLE
BL_ASSUNTOITENS,EDITORA,BL_EDITORAS,HANDLE
BL_ASSUNTOITENS,LOCAL,MUNICIPIOS,HANDLE
BL_AUTORITEMASSUNTOS,LIVRO,BL_ITENS,HANDLE
BL_AUTORITEMASSUNTOS,ASSUNTO,OBSERVACOES,HANDLE
BL_CATALOGACAO,NIVELSUPERIOR,BL_CATALOGACAO,HANDLE
BL_DOCUMENTOIMAGENS,DOCUMENTO,BL_DOCUMENTOS,HANDLE
BL_DOCUMENTOS,FUNCIONARIO,GN_PESSOAS,HANDLE
BL_EDITORAS,LOCAL,MUNICIPIOS,HANDLE
BL_EDITORAS,UF,ESTADOS,HANDLE
BL_EDITORAS,MUNICIPIO,MUNICIPIOS,HANDLE
BL_EDITORAS,BAIRRO,BAIRROS,HANDLE
BL_ESTRUTURADOCUMENTOS,NIVELSUPERIOR,BL_ESTRUTURADOCUMENTOS,HANDLE
BL_ITENS,MOTIVO,BL_MOTIVOINATIVACAO,HANDLE
BL_ITENS,COLECAO,BL_COLECOES,HANDLE
BL_ITENS,MIDIA,BL_MIDIAS,HANDLE
BL_ITENS,EDITORA,BL_EDITORAS,HANDLE
BL_ITENS,LOCAL,MUNICIPIOS,HANDLE
BL_ITENS,CATALOGACAO,BL_CATALOGACAO,HANDLE
BL_OUTROSDOCUMENTOS,DOCUMENTO,BL_DOCUMENTOS,HANDLE
BL_PESSOASITENSEMATRASO,PESSOA,OBSERVACOES,HANDLE
CA_BASECALCULOPEDIDOS,CALCULO,CA_CALCULOS,HANDLE
CA_BASECALCULOPEDIDOS,DESDOBRAMENTO,CA_CALCULODESDOBRAMENTOS,HANDLE
CA_BASECALCULOPEDIDOS,PEDIDO,PR_PROCESSOPEDIDOS,HANDLE
CA_BASECALCULOPEDIDOS,PARTICIPANTE,PR_PROCESSOPARTICIPANTES,HANDLE
CA_BASECALCULOPEDIDOS,BASECALCULO,CA_BASECALCULOS,HANDLE
CA_BASECALCULOPEDIDOS,VERBA,CA_VERBASFOLHA,HANDLE
CA_BASECALCULOVERBAS,BASE,CA_BASECALCULOS,HANDLE
CA_CALCULOACORDODEDUCOES,CALCULO,CA_CALCULOS,HANDLE
CA_CALCULOACORDODEDUCOES,ACORDO,CA_CALCULOACORDOS,HANDLE
CA_CALCULOACORDODEDUCOES,BASEINSS,INSS,HANDLE
CA_CALCULOACORDOINSS,TETOINSS,INSS,HANDLE
CA_CALCULOACORDOINSS,CALCULO,CA_CALCULOS,HANDLE
CA_CALCULOACORDOINSS,BASEORIGINALINSS,INSS,HANDLE
CA_CALCULOACORDOINSS,BASEINSS,INSS,HANDLE
CA_CALCULOACORDOINSS,ALIQUOTAINSS,INSS,HANDLE
CA_CALCULOACORDOINSS,VALORINSS,INSS,HANDLE
CA_CALCULOACORDOINSS,VALORPAGOINSS,INSS,HANDLE
CA_CALCULOACORDOINSS,DIFERENCAINSS,INSS,HANDLE
CA_CALCULOACORDOINSS,ACORDO,CA_CALCULOACORDOS,HANDLE
CA_CALCULOACORDOINSS,CALCULO,CA_CALCULOS,HANDLE
CA_CALCULOACORDOINSS,DESCONTOINSS,INSS,HANDLE
CA_CALCULOACORDOINSS,ACORDO,CA_CALCULOACORDOS,HANDLE
CA_CALCULOACORDOS,QUANTIDADEMESESINSS,INSS,HANDLE
CA_CALCULOACORDOS,CALCULADOPOR,Z_GRUPOUSUARIOS,HANDLE
CA_CALCULOACORDOS,CALCULO,CA_CALCULOS,HANDLE
CA_CALCULOACORDOS,PARTICIPANTE,PR_PROCESSOPARTICIPANTES,HANDLE
CA_CALCULOACORDOS,CALCULOORIGEM,CA_CALCULODESDOBRAMENTOS,HANDLE
CA_CALCULOACORDOVALORES,CALCULO,CA_CALCULOS,HANDLE
CA_CALCULOACORDOVALORES,ACORDO,CA_CALCULOACORDOS,HANDLE
CA_CALCULOACORDOVALORES,PEDIDO,PR_PROCESSOPEDIDOS,HANDLE
CA_CALCULOADVERSOINSS,TETOINSS,INSS,HANDLE
CA_CALCULOADVERSOINSS,DESDOBRAMENTO,CA_CALCULODESDOBRAMENTOS,HANDLE
CA_CALCULOADVERSOINSS,CALCULO,CA_CALCULOS,HANDLE
CA_CALCULOADVERSOINSS,ADVERSO,PR_PROCESSOPARTICIPANTES,HANDLE
CA_CALCULOADVERSOINSS,BASEINSS,INSS,HANDLE
CA_CALCULOADVERSOINSS,ALIQUOTAINSS,INSS,HANDLE
CA_CALCULOADVERSOINSS,VALORINSS,INSS,HANDLE
CA_CALCULOADVERSOINSS,VALORPAGOINSS,INSS,HANDLE
CA_CALCULOADVERSOINSS,BASEORIGINALINSS,INSS,HANDLE
CA_CALCULOADVERSOINSS,DIFERENCAINSS,INSS,HANDLE
CA_CALCULOADVERSOIR,CALCULO,CA_CALCULOS,HANDLE
CA_CALCULOADVERSOIR,DESDOBRAMENTO,CA_CALCULODESDOBRAMENTOS,HANDLE
CA_CALCULOADVERSOIR,ADVERSO,PR_PROCESSOPARTICIPANTES,HANDLE
CA_CALCULOADVERSOIR,DESCONTOINSS,INSS,HANDLE
CA_CALCULOATUALIZACAOINSS,CALCULO,CA_CALCULOS,HANDLE
CA_CALCULOATUALIZACAOINSS,ATUALIZACAO,CA_CALCULOATUALIZACOES,HANDLE
CA_CALCULOATUALIZACAOINSS,BASEORIGINALINSS,INSS,HANDLE
CA_CALCULOATUALIZACAOINSS,BASEINSS,INSS,HANDLE
CA_CALCULOATUALIZACAOINSS,ALIQUOTAINSS,INSS,HANDLE
CA_CALCULOATUALIZACAOINSS,TETOINSS,INSS,HANDLE
CA_CALCULOATUALIZACAOINSS,VALORINSS,INSS,HANDLE
CA_CALCULOATUALIZACAOINSS,VALORPAGOINSS,INSS,HANDLE
CA_CALCULOATUALIZACAOINSS,DIFERENCAINSS,INSS,HANDLE
CA_CALCULOATUALIZACAOIR,MULTAINSS,INSS,HANDLE
CA_CALCULOATUALIZACAOIR,CALCULO,CA_CALCULOS,HANDLE
CA_CALCULOATUALIZACAOVALORES,CALCULO,CA_CALCULOS,HANDLE
CA_CALCULOATUALIZACAOVALORES,ATUALIZACAO,CA_CALCULOATUALIZACOES,HANDLE
CA_CALCULOATUALIZACAOVALORES,PEDIDO,PR_PROCESSOPEDIDOS,HANDLE
CA_CALCULOATUALIZACAOVALORES,INCIDEINSS,INSS,HANDLE
CA_CALCULOATUALIZACOES,CALCULO,CA_CALCULOS,HANDLE
CA_CALCULOATUALIZACOES,ADVERSO,PR_PROCESSOPARTICIPANTES,HANDLE
CA_CALCULOATUALIZACOES,DESDOBRAMENTO,CA_CALCULODESDOBRAMENTOS,HANDLE
CA_CALCULOATUALIZACOES,ACORDO,CA_CALCULOACORDOS,HANDLE
CA_CALCULOATUALIZACOES,CALCULADOPOR,Z_GRUPOUSUARIOS,HANDLE
CA_CALCULOATUALIZACOES,IMPORTADOPOR,Z_GRUPOUSUARIOS,HANDLE
CA_CALCULOATUALIZACOES,MOEDA,GN_MOEDAS,HANDLE
CA_CALCULODESDOBRAMENTOS,MOEDA,GN_MOEDAS,HANDLE
CA_CALCULODESDOBRAMENTOS,CALCULO,CA_CALCULOS,HANDLE
CA_CALCULODESDOBRAMENTOS,DESDOBRAMENTO,CA_DESDOBRAMENTOS,HANDLE
